Model: pyannote/speaker-diarization-community-1
Dataset: msdwild
NOTE: Run stopped early — time limit of 0.8h reached.
      Only 437 file(s) were processed.
Total elapsed: 00:45:03
============================================================

PER FILE:
File                            Dur(s)     DER     JER    Miss      FA    Conf
00409                             87.1   0.106   0.106   0.047   0.052   0.008
00410                             41.1   0.123   0.113   0.089   0.035   0.000
00411                            123.7   0.103   0.126   0.061   0.037   0.005
00412                             73.5   0.058   0.063   0.029   0.028   0.001
00413                            462.4   0.183   0.255   0.088   0.079   0.016
00414                             28.6   0.089   0.091   0.055   0.027   0.007
00415                            142.4   0.113   0.299   0.059   0.043   0.012
00416                             54.1   0.278   0.365   0.047   0.148   0.082
00417                             55.3   0.714   0.917   0.144   0.099   0.471
00418                             28.0   0.166   0.158   0.091   0.066   0.009
00419                             34.4   0.103   0.122   0.057   0.031   0.015
00420                             80.1   0.101   0.095   0.030   0.068   0.003
00421                             21.3   0.562   0.675   0.141   0.185   0.236
00422                             63.3   0.062   0.264   0.040   0.012   0.009
00423                             40.9   0.085   0.084   0.040   0.040   0.004
00424                            124.4   0.100   0.146   0.032   0.042   0.026
00425                            113.9   0.405   0.580   0.146   0.032   0.227
00426                             64.7   0.473   0.740   0.107   0.137   0.229
00427                             29.7   0.398   0.665   0.128   0.062   0.208
00428                             32.1   0.365   0.576   0.164   0.074   0.127
00429                             34.0   0.477   0.760   0.106   0.083   0.287
00430                             56.1   0.478   0.782   0.066   0.120   0.293
00431                             43.1   0.388   0.584   0.157   0.081   0.150
00432                             26.7   0.178   0.192   0.008   0.123   0.047
00433                             30.2   0.648   0.809   0.274   0.095   0.279
00434                             48.4   0.230   0.249   0.142   0.067   0.020
00435                             39.3   0.325   0.464   0.103   0.052   0.170
00436                            104.3   0.079   0.101   0.037   0.025   0.016
00437                             73.5   0.142   0.459   0.032   0.024   0.086

============================================================
OVERALL AVERAGES:
  Avg DER          = 0.266
  Avg JER          = 0.410
  Avg MISS         = 0.089
  Avg FALSE_ALARM  = 0.063
  Avg CONFUSION    = 0.113

============================================================
BY AUDIO LENGTH:

  long (5-15min) — 17 file(s)
    Avg DER          = 0.141
    Avg JER          = 0.228
    Avg MISS         = 0.063
    Avg FALSE_ALARM  = 0.044
    Avg CONFUSION    = 0.034

  medium (1-5min) — 106 file(s)
    Avg DER          = 0.206
    Avg JER          = 0.338
    Avg MISS         = 0.071
    Avg FALSE_ALARM  = 0.053
    Avg CONFUSION    = 0.083

  short (<1min) — 303 file(s)
    Avg DER          = 0.298
    Avg JER          = 0.454
    Avg MISS         = 0.099
    Avg FALSE_ALARM  = 0.069
    Avg CONFUSION    = 0.131

  very long (>15min) — 11 file(s)
    Avg DER          = 0.123
    Avg JER          = 0.151
    Avg MISS         = 0.049
    Avg FALSE_ALARM  = 0.049
    Avg CONFUSION    = 0.025
